,A1, A2, A3, A4, A5, A6, A7, A8, A9,y
1,85,0,88,-4,6,1,3,83,80,0
2,106,2,108,0,70,0,1,38,36,0
3,79,5,83,0,-46,0,4,130,126,0
4,76,0,81,-2,-40,13,5,122,118,0
5,104,7,105,7,70,0,1,35,34,0
6,101,-3,102,-4,72,0,1,29,28,0
7,81,-2,84,0,-18,-30,4,103,98,0
8,81,0,84,0,-12,29,4,97,94,0
9,79,0,83,0,-40,3,4,125,120,0
10,105,-1,106,2,70,0,2,36,34,0
11,79,2,83,0,-42,-19,4,126,122,0
12,80,0,85,6,-40,10,5,126,122,0
13,83,0,86,0,-4,0,3,92,88,0
14,70,57,82,0,-42,-4,12,126,114,1
15,84,6,89,0,6,-6,5,84,78,0
16,79,6,83,1,-40,13,4,124,120,0
17,85,-3,88,0,2,-25,3,86,82,0
18,85,0,88,-3,6,0,3,83,80,0
19,82,1,86,0,-6,0,3,94,90,0
20,78,-2,82,0,-40,0,4,123,120,0
21,78,0,82,-2,-40,0,4,123,120,0
22,107,-2,108,-2,70,-28,1,38,38,0
23,102,0,103,0,72,24,1,31,30,0
24,107,-2,108,-1,70,-23,1,38,38,0
25,106,0,107,-5,70,0,1,37,36,0
26,84,1,87,0,-4,0,3,92,88,0
27,76,0,81,8,-40,9,5,122,116,0
28,107,-4,108,0,70,0,1,38,36,0
29,80,1,84,0,-28,0,4,112,108,0
30,85,0,89,0,6,26,4,84,80,0
31,80,-4,84,0,-14,0,4,99,96,0
32,85,0,88,1,-2,0,3,91,88,0
33,83,0,86,0,-6,-21,3,94,90,0
34,105,0,106,-3,72,8,1,34,34,0
35,76,2,81,1,-40,11,5,122,118,0
36,81,0,84,0,-22,-13,4,108,104,0
37,79,0,83,0,-30,38,4,114,110,0
38,83,0,86,0,-2,21,3,89,86,0
39,85,0,88,-114,0,0,3,88,84,0
40,80,0,84,0,-36,5,4,120,116,0
41,81,-3,84,0,-22,-2,4,108,104,0
42,105,0,106,-1,70,0,1,36,34,0
43,81,0,85,0,-22,0,4,108,104,0
44,81,2,83,-8,-6,-968,3,91,88,0
45,106,-2,107,-4,72,0,1,35,34,0
46,101,0,102,0,70,-12,1,32,32,0
47,79,0,83,0,-32,-15,4,117,112,0
48,105,0,106,-1,70,0,1,36,36,0
49,80,0,84,-1,-42,0,4,128,124,0
50,83,0,86,0,-4,7,3,92,88,0
51,107,0,108,0,72,2,1,35,34,0
52,81,0,84,0,-20,-6,4,105,102,0
53,81,3,85,6,-24,0,4,111,106,0
54,102,0,102,-2,70,-1,1,33,32,0
55,105,0,107,-3,70,-4,1,37,36,0
56,81,-5,84,0,-22,-6,4,108,104,0
57,82,0,85,-6,-10,0,3,95,92,0
58,77,1,81,0,-42,0,4,125,122,0
59,105,2,106,0,70,0,1,36,36,0
60,102,0,103,0,72,12,1,31,30,0
61,83,-3,87,0,-4,0,4,92,88,0
62,81,-3,85,-6,-40,0,4,126,122,0
63,80,0,84,6,-24,11,4,110,106,0
64,80,4,84,8,-28,0,4,112,108,0
65,105,4,106,4,70,0,1,36,36,0
66,105,-1,107,-3,70,-4,1,37,36,0
67,78,-4,83,0,-40,3,4,124,120,0
68,76,0,81,2,-40,0,5,122,118,0
69,84,-2,88,0,2,0,3,85,82,0
70,82,0,86,0,-4,-24,3,91,88,0
71,77,0,81,-2,-40,0,4,122,118,0
72,83,0,86,0,-6,-23,3,94,90,0
73,105,0,106,-7,70,0,1,36,36,0
74,78,1,82,0,-46,0,4,128,124,0
75,80,0,84,0,-42,-10,4,128,124,0
76,108,1,109,1,72,2,1,36,36,0
77,81,-4,85,0,-10,0,4,95,92,0
78,79,-1,83,-3,-32,12,4,117,112,0
79,84,4,89,0,6,-10,5,84,80,0
80,84,-1,88,0,2,0,3,85,82,0
81,79,4,83,0,-30,0,4,114,110,0
82,102,0,103,-1,72,16,1,31,30,0
83,76,0,81,0,-42,0,5,125,120,0
84,103,-4,104,-2,70,0,1,35,34,0
85,76,-3,81,0,-40,0,5,122,118,0
86,82,0,86,1,-6,3,4,94,90,0
87,81,0,84,0,-18,18,4,103,98,0
88,85,0,88,-2,2,-5,3,86,82,0
89,81,0,84,0,-22,-16,4,108,104,0
90,82,0,86,5,-10,0,4,96,92,0
91,102,0,103,7,70,-12,1,33,32,0
92,105,-2,106,0,70,0,1,36,36,0
93,80,0,84,0,-36,-7,4,120,116,0
94,80,-4,84,0,-36,0,5,121,116,0
95,103,-1,104,-4,72,10,1,31,30,0
96,81,4,84,0,-14,4,3,100,96,0
97,102,-4,104,0,70,-11,2,34,32,0
98,82,0,86,0,-12,-18,3,99,96,0
99,107,3,108,0,70,-1,1,38,36,0
100,81,3,84,0,-14,-4,3,99,96,0
101,76,-2,81,0,-40,14,5,122,116,0
102,86,5,89,0,2,-5,3,86,84,0
