,0,1,2,3,4,y
1,1.24,0.875,-0.205,-0.078,0.067,0
2,0.268,1.352,1.035,-0.332,0.217,0
3,1.567,0.867,1.3,1.041,0.559,0
4,0.279,0.99,2.555,-0.738,0,0
5,0.307,1.272,2.656,-0.946,-0.467,0
6,0.96,0.712,-0.143,0.091,-0.061,0
7,2.941,0.657,1.493,-0.331,-0.123,0
8,0.401,1.159,2.064,-0.69,-0.308,0
9,0.229,1.748,0.634,0.259,0,0
10,0.303,0.609,0.474,1.427,-0.811,1
11,0.318,0.811,0.818,0.821,0.86,1
12,0.655,1.054,1.372,-0.724,1.77,1
13,0.105,0.576,0.342,0.83,0,1
14,0.541,2.145,-0.562,-0.228,-0.141,1
15,1.404,1.531,0.476,1.601,-0.424,0
16,0.532,1.963,-0.355,0.191,-0.122,0
17,0.108,0.464,1.302,1.08,-0.349,0
18,0.807,2.227,-0.556,-0.225,0.161,0
19,1.039,2.271,1.699,-0.369,-0.168,1
20,0.316,1.36,1.986,-0.624,0.497,0
21,0.136,0.736,1.847,1.073,-0.424,0
22,0.533,2.581,-0.595,-0.227,-0.123,0
23,0.151,0.642,1.454,1.281,-0.716,1
24,0.533,2.139,0.629,0.241,-0.1,0
25,0.6,1.405,2.477,-0.701,-0.272,1
26,0.699,2.295,0.67,0.403,-0.391,0
27,0.619,2.238,-0.417,-0.184,-0.125,0
28,0.111,0.299,0.404,0.694,0,0
29,0.648,2.479,1.064,-0.317,0,0
30,1.669,2.226,0.545,0.229,-0.139,0
31,0.416,1.689,0.756,-0.252,-0.145,0
32,0.06,0.225,0.119,0.264,0.912,0
33,0.492,2.604,-0.594,0.313,-0.147,0
34,0.747,1.029,1.346,-0.998,1.722,1
35,1.312,2.591,0.874,0.534,-0.175,0
36,0.121,0.311,0.588,1.978,-0.652,0
37,0.626,2.317,0.766,0.411,-0.305,0
38,2.881,0.896,0.495,0.475,-0.113,0
39,0.96,1.09,0.513,1.114,0.729,1
40,0.48,1.502,2.495,-0.692,0.402,1
41,3.386,-0.301,0.136,-0.078,-0.055,0
42,1.089,1.423,-0.387,-0.123,0.09,0
43,0.27,0.959,1.687,1.705,0,0
44,2.571,-0.235,0.201,0.137,-0.133,0
45,0.912,2.285,-0.449,-0.159,-0.099,0
46,0.531,2.105,-0.397,-0.201,-0.103,0
47,0.125,0.548,0.795,0.836,0,1
48,0.874,3.03,-0.496,0.243,0.48,0
49,0.362,0.688,1.513,0.699,0.52,1
50,0.466,2.279,1.825,0.778,-0.253,0
51,0.155,0.514,0.49,-0.625,0,0
52,0.311,1.493,0.423,0.304,-0.113,0
53,1.712,1.764,0.375,0.511,0.589,0
54,1.055,1.185,0.293,0.182,-0.141,0
55,0.577,3.348,-0.621,-0.245,0,0
56,0.266,0.711,1.002,1.138,0.536,1
57,0.273,2.018,1.768,0.697,0,0
58,0.423,1.781,-0.696,0.491,1.106,0
59,0.105,0.594,0.326,-0.808,0,1
60,3.084,0.782,-0.166,-0.088,-0.061,0
61,0.82,2.083,0.492,0.283,-0.19,0
62,0.464,1.792,2.176,-0.517,-0.327,0
63,1.093,1.692,0.445,-0.312,1.608,0
64,0.734,0.647,1.387,0.556,0.451,1
65,-0.073,-0.25,-0.445,1.539,-1.184,1
66,0.268,2.164,0.991,0.63,0,0
67,0.141,0.64,0.922,1.899,0,1
68,0.482,0.917,1.435,-0.835,-0.762,1
69,1.168,2.156,-0.289,-0.122,0.109,0
70,0.165,1.031,1.947,-0.544,-0.228,0
71,0.967,2.225,-0.291,-0.145,-0.107,0
72,1.607,2.312,-0.381,0.222,0.163,0
73,0.856,1.875,1.186,0.366,0,0
74,0.255,3.145,-0.507,1.274,-0.385,0
75,0.556,3.451,-0.597,-0.245,-0.153,0
76,0.148,0.777,1.533,1.672,0,0
77,0.58,1.755,1.087,0.334,0,0
78,0.371,2.324,-0.456,-0.168,-0.083,0
79,1.905,0.487,-0.127,0.079,0.072,0
80,0.172,0.953,2.051,-0.777,-0.572,0
81,0.081,0.309,0.445,-0.697,1.824,0
82,0.443,0.705,0.759,1.27,0.92,1
83,0.887,2.167,0.646,0.475,1.125,0
84,0.832,2.711,-0.639,0.381,0,0
85,3.177,-0.275,-0.111,0.09,-0.074,0
86,0.341,1.007,2.908,-0.772,0.391,0
87,0.955,1.445,1.608,0.716,0.689,1
88,1.901,0.502,0.188,0.151,-0.152,0
89,0.42,2.394,1.358,0.675,0,0
90,0.218,0.659,1.048,2.194,-0.904,1
91,0.487,2.467,-0.428,-0.213,-0.121,0
92,0.871,0.961,1.468,1.132,1.339,1
93,0.12,0.443,0.325,-0.318,0.904,1
94,0.328,1.09,2.044,1.063,1.043,1
95,1.752,1.47,1.261,-0.437,0.648,1
96,1.197,1.397,0.353,0.184,0.119,0
97,0.137,0.519,0.76,1.611,0,1
98,0.693,1.713,-0.478,-0.221,-0.156,0
99,0.18,0.836,2.024,1.056,0,0
100,0.421,1.055,2.305,-0.547,0.344,0
101,1.371,1.441,-0.287,0.167,-0.171,0
102,0.64,2.462,1.133,-0.335,0,0
103,0.53,1.273,1.002,0.733,-0.692,1
104,0.424,0.745,0.766,1.225,1.068,1
105,0.508,2.937,-0.498,0.263,-0.159,0
106,1.956,1.328,0.82,0.451,-0.256,0
107,0.17,1.356,0.82,0.333,0,0
108,0.352,1.828,-0.377,-0.165,0,0
109,0.184,0.496,0.514,1.117,1.106,1
110,1.831,2.751,-0.372,-0.169,-0.099,0
111,0.66,0.885,1.552,-0.425,0.345,1
112,0.269,1.13,2.209,-0.786,-0.323,0
113,2.389,0.639,-0.107,0.13,-0.053,0
114,0.302,0.581,2.031,1.122,1.408,1
115,1.195,-0.837,-0.266,0.144,-0.086,0
116,2.456,0.964,0.686,0.849,-0.257,0
117,0.238,0.475,1.232,1.637,0.785,0
118,0.35,0.585,0.907,2.188,1.632,1
119,0.551,2.308,-0.517,-0.189,-0.122,0
120,0.389,0.55,0.897,1.13,0,1
121,0.456,2.315,1.872,0.703,-0.293,0
122,0.721,0.502,0.871,2.022,-0.563,0
123,0.861,1.811,-0.291,0.212,-0.256,0
124,0.704,0.758,1.516,1.905,-0.85,1
125,3.698,0.437,-0.109,-0.0819999999999999,-0.042,0
126,1.118,2.528,-0.347,-0.151,0.189,0
127,0.089,0.616,1.451,1.569,0,0
128,0.15,1.057,0.645,1.318,1.157,1
129,0.079,0.274,0.403,1.157,1.638,0
130,0.515,0.457,1.714,1.058,-0.36,1
131,0.289,0.832,1.765,0.835,0.489,0
132,0.226,0.807,2.147,-0.703,0.395,0
133,0.812,0.762,2.242,-0.792,0.405,0
134,0.252,2.498,-0.53,0.347,-0.137,0
135,1.437,1.91,1.583,0.563,-0.165,1
136,0.398,1.547,1.228,0.466,-0.268,0
137,1.271,1.743,-0.315,-0.404,1.494,0
138,0.459,0.541,1.959,1.106,-0.785,1
139,1.235,1.996,-0.359,0.21,0.141,0
140,3.307,0.503,-0.171,-0.156,0.598,0
141,0.333,1.292,1.023,0.455,-0.199,0
142,3.06,0.584,0.224,0.326,-0.088,0
143,0.387,0.474,1.643,2.735,-0.624,1
144,0.336,0.875,2.576,1.339,-0.557,0
145,0.87,2.27,1.651,0.636,-0.192,1
146,0.41,1.009,2.024,-0.555,-0.271,0
147,2.075,2.142,0.539,0.457,0.301,0
