,0,1,2,3,4,5,6,7,8,9,y
1,65,0,0.7,0.1,187,16,18,6.8,3.3,0.9,0
2,62,1,10.9,5.5,699,64,100,7.5,3.2,0.74,0
3,62,1,7.3,4.1,490,60,68,7,3.3,0.89,0
4,58,1,1,0.4,182,14,20,6.8,3.4,1,0
5,72,1,3.9,2,195,27,59,7.3,2.4,0.4,0
6,46,1,1.8,0.7,208,19,14,7.6,4.4,1.3,0
7,26,0,0.9,0.2,154,16,12,7,3.5,1,0
8,29,0,0.9,0.3,202,14,11,6.7,3.6,1.1,0
9,17,1,0.9,0.3,202,22,19,7.4,4.1,1.2,1
10,55,1,0.7,0.2,290,53,58,6.8,3.4,1,0
11,57,1,0.6,0.1,210,51,59,5.9,2.7,0.8,0
12,72,1,2.7,1.3,260,31,56,7.4,3,0.6,0
13,64,1,0.9,0.3,310,61,58,7,3.4,0.9,1
14,74,0,1.1,0.4,214,22,30,8.1,4.1,1,0
15,61,1,0.7,0.2,145,53,41,5.8,2.7,0.87,0
16,25,1,0.6,0.1,183,91,53,5.5,2.3,0.7,1
17,38,1,1.8,0.8,342,168,441,7.6,4.4,1.3,0
18,33,1,1.6,0.5,165,15,23,7.3,3.5,0.92,1
19,40,0,0.9,0.3,293,232,245,6.8,3.1,0.8,0
20,40,0,0.9,0.3,293,232,245,6.8,3.1,0.8,0
21,51,1,2.2,1,610,17,28,7.3,2.6,0.55,0
22,51,1,2.9,1.3,482,22,34,7,2.4,0.5,0
23,62,1,6.8,3,542,116,66,6.4,3.1,0.9,0
24,40,1,1.9,1,231,16,55,4.3,1.6,0.6,0
25,63,1,0.9,0.2,194,52,45,6,3.9,1.85,1
26,34,1,4.1,2,289,875,731,5,2.7,1.1,0
27,34,1,4.1,2,289,875,731,5,2.7,1.1,0
28,34,1,6.2,3,240,1680,850,7.2,4,1.2,0
29,20,1,1.1,0.5,128,20,30,3.9,1.9,0.95,1
30,84,0,0.7,0.2,188,13,21,6,3.2,1.1,1
31,57,1,4,1.9,190,45,111,5.2,1.5,0.4,0
32,52,1,0.9,0.2,156,35,44,4.9,2.9,1.4,0
33,57,1,1,0.3,187,19,23,5.2,2.9,1.2,1
34,38,0,2.6,1.2,410,59,57,5.6,3,0.8,1
35,38,0,2.6,1.2,410,59,57,5.6,3,0.8,1
36,30,1,1.3,0.4,482,102,80,6.9,3.3,0.9,0
37,17,0,0.7,0.2,145,18,36,7.2,3.9,1.18,1
38,46,0,14.2,7.8,374,38,77,4.3,2,0.8,0
39,48,1,1.4,0.6,263,38,66,5.8,2.2,0.61,0
40,47,1,2.7,1.3,275,123,73,6.2,3.3,1.1,0
41,45,1,2.4,1.1,168,33,50,5.1,2.6,1,0
42,62,1,0.6,0.1,160,42,110,4.9,2.6,1.1,1
43,42,1,6.8,3.2,630,25,47,6.1,2.3,0.6,1
44,50,1,2.6,1.2,415,407,576,6.4,3.2,1,0
45,85,0,1,0.3,208,17,15,7,3.6,1,1
46,35,1,1.8,0.6,275,48,178,6.5,3.2,0.9,1
47,21,1,3.9,1.8,150,36,27,6.8,3.9,1.34,0
48,40,1,1.1,0.3,230,1630,960,4.9,2.8,1.3,0
49,32,0,0.6,0.1,176,39,28,6,3,1,0
50,55,1,18.4,8.8,206,64,178,6.2,1.8,0.4,0
51,45,0,0.7,0.2,170,21,14,5.7,2.5,0.7,0
52,34,0,0.6,0.1,161,15,19,6.6,3.4,1,0
53,38,1,3.1,1.6,253,80,406,6.8,3.9,1.3,0
54,38,1,1.1,0.3,198,86,150,6.3,3.5,1.2,0
55,42,1,8.9,4.5,272,31,61,5.8,2,0.5,0
56,42,1,8.9,4.5,272,31,61,5.8,2,0.5,0
57,33,1,0.8,0.2,198,26,23,8,4,1,1
58,48,0,0.9,0.2,175,24,54,5.5,2.7,0.9,1
59,51,1,0.8,0.2,367,42,18,5.2,2,0.6,0
60,64,1,1.1,0.5,145,20,24,5.5,3.2,1.39,1
61,31,0,0.8,0.2,158,21,16,6,3,1,0
62,58,1,1,0.5,158,37,43,7.2,3.6,1,0
63,58,1,1,0.5,158,37,43,7.2,3.6,1,0
64,57,1,0.7,0.2,208,35,97,5.1,2.1,0.7,0
65,57,1,1.3,0.4,259,40,86,6.5,2.5,0.6,0
66,57,1,1.4,0.7,470,62,88,5.6,2.5,0.8,0
67,54,1,2.2,1.2,195,55,95,6,3.7,1.6,0
68,37,1,1.8,0.8,215,53,58,6.4,3.8,1.4,0
69,66,1,0.7,0.2,239,27,26,6.3,3.7,1.4,0
70,60,1,0.8,0.2,215,24,17,6.3,3,0.9,1
71,19,0,0.7,0.2,186,166,397,5.5,3,1.2,0
72,75,0,0.8,0.2,188,20,29,4.4,1.8,0.6,0
73,75,0,0.8,0.2,205,27,24,4.4,2,0.8,0
74,52,1,0.6,0.1,171,22,16,6.6,3.6,1.2,0
75,68,1,0.7,0.1,145,20,22,5.8,2.9,1,0
76,29,0,0.7,0.1,162,52,41,5.2,2.5,0.9,1
77,31,1,0.9,0.2,518,189,17,5.3,2.3,0.7,0
78,68,0,0.6,0.1,1620,95,127,4.6,2.1,0.8,0
79,70,1,1.4,0.6,146,12,24,6.2,3.8,1.58,1
80,58,0,2.8,1.3,670,48,79,4.7,1.6,0.5,0
81,58,0,2.4,1.1,915,60,142,4.7,1.8,0.6,0
82,29,1,1,0.3,75,25,26,5.1,2.9,1.3,0
83,49,1,0.7,0.1,148,14,12,5.4,2.8,1,1
84,33,1,2,1,258,194,152,5.4,3,1.25,0
85,32,1,0.6,0.1,237,45,31,7.5,4.3,1.34,0
86,14,1,1.4,0.5,269,58,45,6.7,3.9,1.4,0
87,13,1,0.6,0.1,320,28,56,7.2,3.6,1,1
88,58,1,0.8,0.2,298,33,59,6.2,3.1,1,0
89,18,1,0.6,0.2,538,33,34,7.5,3.2,0.7,0
90,60,1,4,1.9,238,119,350,7.1,3.3,0.8,0
91,60,1,5.7,2.8,214,412,850,7.3,3.2,0.78,0
92,60,1,6.8,3.2,308,404,794,6.8,3,0.7,0
93,60,1,8.6,4,298,412,850,7.4,3,0.6,0
94,60,1,5.8,2.7,204,220,400,7,3,0.7,0
95,60,1,5.2,2.4,168,126,202,6.8,2.9,0.7,0
96,75,1,0.9,0.2,282,25,23,4.4,2.2,1,0
97,39,1,3.8,1.5,298,102,630,7.1,3.3,0.8,0
98,39,1,6.6,3,215,190,950,4,1.7,0.7,0
99,18,1,0.6,0.1,265,97,161,5.9,3.1,1.1,0
100,18,1,0.7,0.1,312,308,405,6.9,3.7,1.1,0
101,27,1,0.6,0.2,161,27,28,3.7,1.6,0.76,1
102,27,1,0.7,0.2,243,21,23,5.3,2.3,0.7,1
103,17,1,0.9,0.2,224,36,45,6.9,4.2,1.55,0
