,0,1,2,3,4,5,6,7,8,9,y
71,1,1,0,1,0,1,1,0,0,1,0
72,0,1,1,0,1,1,0,0,0,1,0
73,0,0,0,0,0,1,1,0,1,1,0
74,1,1,0,1,1,1,1,1,0,1,0
75,0,0,0,1,0,1,0,1,0,1,0
76,1,0,1,1,1,1,0,1,0,0,0
77,0,1,1,0,0,1,0,1,0,1,0
78,0,1,0,0,0,1,1,1,1,1,0
79,0,1,0,1,1,0,0,0,1,1,0
80,0,0,0,0,1,0,1,0,0,1,1
81,0,1,0,0,0,1,1,1,1,0,0
82,0,1,1,1,1,1,1,0,1,0,0
83,0,1,0,0,1,0,0,1,0,1,1
84,1,0,1,1,0,0,0,1,0,0,0
85,0,0,0,1,0,1,0,1,1,0,0
86,1,0,1,0,0,0,0,0,1,1,1
87,0,1,1,0,1,0,0,0,1,1,0
88,1,0,0,0,1,0,1,0,0,1,1
89,1,0,0,0,0,0,0,1,0,1,1
90,1,0,0,0,0,1,1,1,0,1,0
91,0,1,1,1,1,1,0,0,1,0,0
92,0,0,0,0,1,1,0,1,1,1,0
93,1,1,0,0,0,0,1,0,1,1,1
94,1,0,1,1,0,0,0,1,1,0,0
95,0,1,1,0,0,0,1,1,0,0,0
96,1,0,1,1,0,1,1,1,1,0,0
97,0,0,1,0,1,0,1,1,0,1,0
98,0,0,0,1,1,0,0,1,1,0,0
99,0,1,1,1,0,0,1,0,0,1,0
100,1,0,0,0,0,0,0,1,1,0,1
101,1,1,0,1,1,1,0,0,0,0,0
102,1,1,1,0,0,0,1,1,0,0,0
103,0,1,0,1,0,1,1,1,1,1,0
104,1,0,1,1,1,1,0,0,1,0,0
105,0,0,1,0,0,1,1,0,1,1,0
106,0,0,0,0,1,0,0,0,1,0,1
107,0,1,1,0,0,0,1,0,0,0,1
108,0,0,0,0,0,1,1,0,0,1,1
109,1,0,0,1,1,0,1,0,0,0,0
110,0,1,1,0,0,0,0,1,1,0,0
111,0,0,0,0,0,1,1,1,0,0,0
112,0,1,1,1,1,0,0,0,0,0,0
113,1,1,1,1,0,1,0,1,0,0,0
114,0,1,0,1,0,1,0,0,1,1,0
115,0,0,0,1,0,0,1,1,0,0,0
116,0,1,1,0,0,1,0,0,1,0,0
117,1,1,1,1,0,0,0,0,1,1,0
118,1,1,0,1,0,1,1,1,1,1,0
119,1,1,0,1,1,1,0,0,0,1,0
120,0,0,0,0,1,0,0,1,0,1,1
121,1,0,1,1,0,0,0,0,0,1,1
122,0,0,1,1,1,1,0,0,1,1,0
123,1,1,0,0,1,0,1,1,0,0,0
124,1,1,1,0,1,0,0,1,0,1,0
125,1,0,0,1,0,1,1,1,1,1,0
126,0,1,1,0,0,0,0,0,0,1,1
127,1,0,1,1,0,0,0,1,1,1,0
128,1,0,1,0,0,1,1,1,1,0,0
129,0,0,0,1,1,1,1,0,1,0,0
130,0,0,0,1,0,1,0,1,0,0,0
131,0,0,0,1,1,1,1,1,0,0,0
132,1,0,1,1,0,0,1,1,0,1,0
133,0,0,1,1,1,1,1,1,1,0,0
134,1,1,0,0,0,1,1,0,1,1,0
135,1,0,1,0,0,0,0,0,0,1,1
136,1,0,1,1,1,0,1,1,1,1,0
137,0,1,0,1,1,1,0,1,0,1,0
138,0,1,1,1,1,1,0,0,1,1,0
139,1,1,0,0,0,1,0,1,0,1,1
140,1,1,0,1,1,1,0,0,1,1,0
141,0,1,1,1,1,0,1,1,1,0,0
142,1,0,1,0,1,1,0,0,1,1,0
143,0,0,1,0,1,0,1,0,0,0,0
144,0,1,0,0,0,1,0,1,1,0,0
145,1,1,0,0,0,0,1,1,1,1,0
146,0,1,0,1,0,0,0,0,1,0,1
147,1,1,1,1,0,0,1,1,1,1,0
148,1,0,1,0,0,1,0,0,0,1,1
149,0,0,1,0,1,0,0,0,1,1,0
150,0,0,1,0,0,0,0,1,1,0,0
151,1,1,0,1,1,1,1,1,1,0,0
152,1,1,1,1,0,0,1,1,0,1,0
153,0,1,0,1,1,0,1,1,0,1,0
154,1,0,0,0,0,0,0,1,1,1,1
155,1,1,1,0,0,1,1,1,1,1,0
156,1,0,1,0,1,0,0,1,0,1,0
157,0,0,1,0,0,0,1,1,0,0,0
158,1,1,1,1,1,1,1,1,1,1,0
159,0,0,1,0,1,0,0,1,0,1,0
160,1,0,0,1,1,1,1,1,1,1,0
161,1,0,0,0,0,0,1,1,0,1,1
162,1,0,0,1,1,1,1,1,0,1,0
163,0,0,0,0,0,0,1,0,0,1,1
164,0,1,1,1,0,0,0,1,1,1,0
165,1,0,1,1,0,0,1,1,0,0,0
166,0,1,1,0,0,1,0,1,1,0,0
167,0,0,1,1,0,1,1,1,0,1,0
168,1,1,1,0,0,1,0,0,0,1,1
169,1,0,1,0,0,0,1,1,1,1,0
170,1,0,1,0,1,0,1,1,0,1,0
171,0,0,0,1,1,0,1,0,0,0,0
172,0,0,0,1,1,1,0,0,0,1,0
173,0,1,0,0,1,1,0,0,1,0,0
174,0,0,0,0,0,1,0,0,1,1,1
175,0,1,1,1,1,0,0,1,0,1,0
176,1,1,0,0,1,0,1,1,1,1,0
177,0,1,0,1,0,0,0,0,0,0,1
178,1,0,0,0,0,0,1,0,0,1,1
179,1,0,0,0,0,0,1,1,1,0,0
180,1,1,0,0,1,0,0,0,1,0,1
181,1,1,1,0,0,0,1,0,0,0,1
182,1,0,1,1,0,1,0,0,0,1,0
183,1,0,0,1,0,1,0,0,0,0,1
184,0,0,0,1,1,0,1,1,1,1,0
185,0,0,0,0,0,1,0,0,0,1,1
186,0,1,1,0,0,1,1,0,0,1,0
187,0,1,1,1,0,1,0,0,1,0,0
188,0,0,0,1,0,1,1,1,1,1,0
189,0,1,1,0,0,0,0,0,1,1,1
190,1,1,0,0,1,1,1,0,0,0,0
191,0,0,1,0,1,0,1,1,1,1,0
192,0,0,1,1,0,1,0,1,0,1,0
193,0,0,0,1,1,1,0,0,0,0,0
194,1,1,1,1,0,0,1,1,0,0,0
195,1,1,1,0,1,0,1,1,1,0,0
196,1,0,0,0,1,1,1,0,0,0,0
197,1,1,0,1,1,0,0,1,0,1,0
198,0,0,1,0,0,0,0,1,1,1,0
199,1,1,1,0,0,1,1,1,0,0,0
200,0,0,1,1,1,0,0,1,1,0,0
201,1,1,0,0,0,1,1,0,0,0,1
202,1,0,0,1,0,1,1,0,0,0,0
203,0,0,1,1,0,0,1,0,1,1,0
204,1,0,0,0,0,1,1,1,1,0,0
205,1,0,0,1,1,1,1,0,1,0,0
206,0,1,1,1,1,0,1,1,0,0,0
207,0,0,1,1,0,0,1,0,0,0,0
208,1,1,1,1,1,0,0,0,0,1,0
209,0,1,1,0,0,1,0,1,1,1,0
210,0,0,0,1,0,1,0,0,1,1,0
211,1,1,1,1,1,0,1,1,1,1,0
212,1,1,0,1,0,0,1,1,1,0,0
213,0,0,0,0,0,1,0,1,0,0,1
214,1,0,1,1,1,0,0,0,1,0,0
215,1,1,1,0,1,0,1,1,1,1,0
216,1,0,1,0,1,1,1,0,0,0,0
217,1,0,1,0,0,1,0,1,0,0,0
218,1,0,0,1,1,1,1,0,1,1,0
219,1,0,1,0,0,0,1,0,1,1,0
220,1,0,0,0,1,0,0,0,1,0,1
221,0,0,0,1,1,0,0,0,0,0,1
222,1,0,0,0,0,1,0,0,0,0,1
223,0,0,1,0,0,0,0,1,0,0,1
224,0,0,1,0,1,1,0,1,1,0,0
225,0,0,1,1,0,1,1,0,0,0,0
226,1,0,0,1,0,1,1,0,1,0,0
227,0,1,0,1,1,0,1,0,1,0,0
228,0,1,1,1,1,1,1,0,0,0,0
229,0,1,1,0,1,0,1,0,0,1,0
230,0,0,1,1,0,0,0,1,1,0,0
231,0,1,1,1,1,1,0,1,1,1,0
232,0,0,1,0,1,0,0,1,1,1,0
233,0,0,1,1,1,0,1,0,0,0,0
234,0,1,1,1,0,1,1,0,1,0,0
235,1,0,0,0,0,1,0,0,0,1,1
236,1,1,0,1,0,0,1,1,0,1,0
237,0,0,1,1,1,0,0,1,0,0,0
238,0,1,0,0,0,0,1,0,0,0,1
239,1,1,0,0,1,1,1,1,1,1,0
240,0,0,1,0,1,1,1,0,1,0,0
241,0,0,0,0,1,0,0,1,1,0,0
242,1,1,0,1,1,1,1,0,0,0,0
243,1,0,1,0,1,1,0,1,0,0,0
244,0,1,0,1,1,1,1,0,1,1,0
245,0,0,0,1,0,0,1,0,0,1,1
246,0,1,1,1,1,1,0,0,0,0,0
247,0,1,0,0,0,1,0,1,0,1,1
248,0,0,1,1,0,1,1,1,0,0,0
249,1,0,0,0,1,0,1,1,0,0,0
250,0,0,0,0,0,0,1,1,1,1,0
251,1,1,1,0,0,0,0,1,1,1,0
252,1,1,0,0,0,1,0,0,0,0,1
253,0,1,1,0,0,0,0,1,0,0,1
254,0,1,0,1,0,1,0,0,0,0,1
255,0,1,1,1,0,1,0,0,0,0,0
256,0,0,1,1,1,0,1,0,1,1,0
257,1,1,1,0,0,1,1,0,0,1,0
258,1,1,0,0,1,1,1,1,0,1,0
259,0,0,1,0,1,0,0,0,0,0,1
260,1,0,1,1,1,1,1,0,0,1,0
261,1,0,0,0,0,1,0,0,1,0,1
262,1,0,0,0,0,0,0,0,0,1,1
263,1,1,0,1,0,0,0,0,1,1,1
264,0,0,1,0,1,1,0,0,0,1,0
265,1,0,0,0,0,1,1,0,1,0,0
266,0,1,0,1,0,0,0,1,0,0,1
267,0,0,1,1,1,1,0,0,0,1,0
268,0,1,1,1,1,1,0,1,0,1,0
269,1,1,1,0,1,0,1,0,1,0,0
270,1,0,0,1,0,0,0,1,1,0,0
271,0,1,1,0,1,1,1,1,1,1,0
272,1,0,0,0,1,1,1,0,0,1,0
273,1,0,1,1,1,1,1,0,1,1,0
274,0,1,1,0,0,0,1,0,1,0,0
275,1,0,0,0,1,0,1,1,1,0,0
276,1,0,0,1,1,1,0,1,0,1,0
277,0,1,1,1,0,1,1,1,1,0,0
278,0,0,1,0,1,0,1,0,1,0,0
279,0,0,1,1,1,1,1,0,0,1,0
280,1,1,1,0,1,1,0,0,1,0,0
281,1,1,1,0,1,1,1,0,1,0,0
282,0,0,1,0,1,0,0,0,1,0,0
283,0,0,0,0,1,1,0,0,0,1,1
284,1,0,0,0,1,1,0,1,0,0,0
285,0,0,1,0,1,1,0,1,0,0,0
286,0,1,0,1,1,0,1,0,1,1,0
287,1,1,1,1,1,1,0,0,0,1,0
288,0,1,0,1,0,1,1,0,1,0,0
289,0,1,0,1,0,0,1,0,1,0,0
290,1,1,1,1,1,0,0,0,1,0,0
291,0,1,0,1,0,0,1,1,1,1,0
292,1,1,1,1,1,1,0,0,0,0,0
293,1,1,0,0,1,0,0,1,0,0,1
294,0,1,0,1,1,1,0,1,1,0,0
295,0,1,1,0,1,1,0,1,0,0,0
296,1,1,0,0,1,1,1,0,1,1,0
297,0,0,0,0,1,0,1,1,1,0,0
298,1,1,0,0,0,0,0,1,0,1,1
299,0,0,1,0,1,1,1,1,1,0,0
300,1,0,0,1,1,1,1,1,0,0,0
301,1,0,0,1,1,1,0,0,1,0,0
302,0,1,0,1,0,0,1,0,1,0,0
303,1,1,1,1,0,1,0,0,0,1,0
304,1,1,0,1,0,1,0,1,0,0,0
305,1,0,1,0,1,1,1,1,1,1,0
306,1,0,1,0,1,0,1,0,0,1,0
307,1,1,0,1,1,0,1,0,0,1,0
308,1,1,1,0,1,1,0,1,0,1,0
309,1,1,1,0,1,0,0,0,1,0,0
310,0,1,1,0,1,0,0,1,0,0,0
311,0,1,1,1,1,0,0,1,1,1,0
312,1,1,1,1,1,0,1,0,0,0,0
313,1,0,0,1,1,0,0,1,1,0,0
314,0,1,0,1,1,0,1,0,1,1,0
315,1,0,0,0,1,1,1,0,0,0,0
316,0,0,1,1,1,1,1,1,0,1,0
317,0,1,0,1,1,1,0,1,1,0,0
318,1,1,0,0,1,0,1,0,1,1,0
319,0,0,0,1,1,1,1,1,1,0,0
320,1,0,0,1,1,1,0,1,0,0,0
321,0,0,0,0,0,1,0,1,0,0,1
322,0,1,1,1,0,0,0,1,0,0,0
323,1,1,0,0,0,1,1,1,1,0,0
324,1,0,1,0,0,0,0,0,0,1,1
325,1,0,1,0,0,1,0,0,0,0,1
326,0,0,1,1,1,1,1,0,1,1,0
327,0,1,0,0,0,1,0,0,1,0,1
328,1,1,0,0,1,1,1,1,1,1,0
329,1,1,1,1,0,0,1,0,0,1,0
330,1,1,1,0,0,1,0,0,1,0,0
331,0,1,1,0,1,1,1,1,1,1,0
332,1,1,0,0,1,0,0,0,1,0,1
333,0,0,1,0,0,0,0,1,1,1,0
334,1,1,0,0,1,0,1,1,1,1,0
335,0,0,0,1,0,0,1,0,0,1,1
336,0,0,1,0,0,0,0,0,1,0,1
337,0,0,0,0,1,0,0,0,1,1,1
338,0,0,1,1,1,1,0,1,1,0,0
339,0,0,0,1,1,0,1,1,0,0,0
340,1,1,1,1,1,0,1,0,1,0,0
341,0,0,1,0,1,0,0,1,1,0,0
342,0,0,0,0,0,1,1,1,1,1,0
343,1,0,0,0,0,0,1,1,1,0,0
344,0,1,0,1,1,1,1,0,0,1,0
345,0,0,1,1,1,1,0,1,0,1,0
346,1,0,0,1,1,0,1,0,1,1,0
347,0,1,1,1,1,0,1,0,0,1,0
348,1,1,0,0,1,1,0,1,1,0,0
349,0,0,1,0,0,0,0,1,0,0,1
350,0,0,1,1,1,0,1,1,1,1,0
351,0,1,1,0,0,0,0,0,0,0,1
352,1,1,1,0,1,1,1,1,0,0,0
353,1,0,0,0,1,0,0,0,1,0,1
354,0,1,0,1,1,1,1,0,1,1,0
355,0,0,0,1,0,1,1,1,0,1,0
356,1,1,0,1,1,1,1,1,1,0,0
357,1,1,1,0,0,0,1,0,0,1,1
358,1,1,0,1,0,1,0,0,0,0,1
359,1,0,1,1,0,0,0,0,0,0,1
360,0,1,1,1,1,0,1,1,0,0,0
361,0,0,1,1,0,0,1,0,0,0,0
362,1,0,0,1,1,0,0,0,0,1,1
363,0,1,1,0,0,1,0,1,0,0,0
364,0,0,0,0,1,0,1,1,0,0,0
365,0,0,1,0,0,0,0,1,0,1,1
366,1,1,1,1,0,1,1,1,1,1,0
367,0,0,1,1,0,0,1,1,1,0,0
368,1,0,1,1,1,1,0,0,0,0,0
369,1,1,0,1,1,0,1,1,0,0,0
370,1,0,1,0,1,1,1,0,1,0,0
371,1,0,1,0,0,1,1,0,0,1,0
372,1,0,0,1,1,0,0,1,0,0,0
373,1,1,1,0,1,1,0,0,0,1,0
374,0,1,1,1,0,1,0,1,0,0,0
375,0,0,0,1,0,1,0,0,0,0,1
376,1,0,1,0,0,1,0,1,1,1,0
377,0,1,0,1,1,0,1,1,1,1,0
378,1,1,1,0,1,0,1,1,1,0,0
379,0,1,1,1,0,0,0,1,1,1,0
380,0,0,1,1,1,0,1,0,0,0,0
381,0,0,1,1,1,0,0,1,1,1,0
382,0,1,0,1,1,1,0,0,1,1,0
383,0,0,1,1,0,0,1,0,1,0,0
384,0,0,0,0,0,1,0,0,0,1,1
385,1,1,0,1,1,1,1,0,1,0,0
386,0,0,0,1,1,1,0,1,0,0,0
387,1,0,1,1,0,0,1,0,0,0,0
388,0,0,0,1,1,0,0,0,0,1,1
389,0,0,1,1,0,0,1,1,1,1,0
390,1,1,1,1,0,1,0,0,0,0,0
391,0,1,1,0,1,0,1,1,0,1,0
392,0,1,1,1,1,0,0,1,1,0,0
393,1,1,1,1,0,1,1,0,0,0,0
394,0,0,1,0,1,0,1,1,1,0,0
395,0,1,1,1,0,1,1,1,1,1,0
396,1,1,1,1,0,1,1,1,0,1,0
397,1,1,1,0,0,1,1,1,1,0,0
398,0,1,0,0,1,0,0,0,0,1,1
399,0,1,1,1,0,0,1,0,1,1,0
400,1,0,1,1,1,0,0,0,1,0,0
401,1,0,0,0,0,1,0,1,0,0,1
402,1,0,1,0,1,1,1,1,0,1,0
403,0,1,0,0,0,1,0,1,0,0,1
404,1,1,0,0,1,0,0,0,1,1,1
405,1,0,0,1,1,1,1,1,1,1,0
406,0,0,1,0,1,1,1,0,1,0,0
407,1,0,1,1,1,1,1,0,0,1,0
408,0,0,0,0,0,1,0,0,1,0,1
409,0,1,1,1,1,0,0,0,0,0,0
410,0,1,0,0,1,0,1,1,1,1,0
411,0,0,0,0,1,1,1,0,0,1,0
412,0,0,1,1,0,0,0,1,0,1,0
413,0,1,0,1,1,0,0,0,0,0,1
414,0,1,0,0,1,0,1,0,0,0,1
415,0,1,0,0,1,1,0,1,1,0,0
416,1,0,0,1,0,1,1,1,0,0,0
417,1,1,1,1,1,1,0,1,0,1,0
418,1,0,1,0,0,1,0,1,0,0,0
419,1,1,1,0,0,1,0,0,1,1,0
420,1,1,1,0,1,0,0,1,0,0,0
421,0,1,0,1,0,1,1,0,0,1,0
422,1,1,1,1,0,0,0,0,0,1,1
423,1,1,0,1,0,1,1,1,0,0,0
424,0,0,0,0,1,1,0,1,0,1,0
425,1,1,0,0,0,0,0,0,1,0,1
426,1,0,1,0,1,1,1,1,0,0,0
427,0,1,0,1,1,0,0,0,1,1,0
428,1,0,0,1,1,0,0,0,1,0,0
429,1,0,0,0,0,0,0,1,0,0,1
430,0,0,1,1,1,1,1,1,1,0,0
431,0,1,1,0,0,1,0,1,0,1,0
432,0,1,0,0,1,1,1,1,0,1,0
433,0,1,1,1,0,0,1,0,1,0,0
434,1,1,0,1,0,1,0,0,0,1,1
435,0,1,1,0,0,0,1,1,0,0,0
436,0,0,0,0,1,1,1,1,0,1,0
437,1,0,0,0,0,0,0,0,1,1,1
438,1,1,1,0,1,1,1,1,1,1,0
439,0,0,0,1,0,1,0,1,0,1,0
440,1,1,0,1,1,1,1,1,1,1,0
441,1,1,1,1,0,1,0,1,0,1,0
442,1,1,1,0,1,1,0,0,1,1,0
443,0,1,1,0,1,0,0,0,1,1,0
444,0,0,1,1,0,0,1,1,0,0,0
445,0,1,0,1,1,0,1,0,0,1,0
446,1,1,1,0,1,1,0,1,1,1,0
447,1,1,0,0,1,1,1,0,1,0,0
448,0,1,0,1,1,1,1,1,0,1,0
449,0,0,1,1,0,0,0,1,0,0,0
450,0,1,1,0,0,1,0,0,0,0,1
451,0,1,0,0,1,0,0,0,1,1,1
452,0,0,0,0,0,0,0,1,0,1,1
453,1,0,1,0,0,0,0,1,1,0,0
454,1,1,1,0,0,0,0,0,0,0,1
455,1,0,0,0,1,0,0,0,0,0,1
456,1,0,1,0,1,1,1,0,0,0,0
457,0,0,1,0,0,0,0,1,1,0,0
458,0,1,0,0,1,0,0,1,1,1,0
459,1,0,1,1,0,1,1,1,1,1,0
460,0,0,0,0,0,1,1,1,0,0,0
461,1,0,1,1,1,1,1,1,1,0,0
462,0,1,1,0,1,0,1,0,1,1,0
463,1,1,1,1,0,1,1,0,0,1,0
464,0,0,0,1,0,1,0,0,1,1,0
465,1,1,0,0,0,0,0,0,0,0,1
466,1,1,1,0,1,1,1,0,0,0,0
467,0,1,0,0,0,1,0,1,0,1,1
468,1,0,0,1,0,1,1,1,1,1,0
469,1,1,0,1,0,0,1,0,1,0,0
470,1,0,0,0,1,1,1,1,1,1,0
471,0,1,0,1,1,0,0,1,0,1,0
472,1,0,0,1,1,1,1,0,0,1,0
473,0,0,0,1,1,1,0,1,0,1,0
474,0,0,0,1,1,0,1,0,1,0,0
475,1,0,0,1,1,1,0,1,0,1,0
476,1,0,1,1,1,1,0,1,1,1,0
477,1,0,0,0,1,1,0,1,0,0,0
478,0,1,1,0,1,1,1,1,0,0,0
479,0,0,1,1,0,1,1,1,1,1,0
480,1,0,0,1,1,0,1,1,1,0,0
481,0,1,0,1,1,0,1,0,0,0,0
482,1,0,0,0,0,0,1,0,1,0,1
483,1,1,1,1,1,0,0,0,0,0,0
484,0,1,0,0,1,1,1,0,0,0,0
485,1,0,1,0,0,0,1,0,1,1,0
486,0,0,1,0,0,1,1,1,1,1,0
487,0,0,1,1,1,0,1,1,1,0,0
488,1,1,0,1,1,0,1,1,1,1,0
489,0,1,1,0,1,1,1,0,0,1,0
490,1,0,0,0,1,1,1,1,0,1,0
491,1,1,1,0,1,1,0,1,0,0,0
492,1,0,0,1,0,0,0,1,1,1,0
493,1,0,1,0,1,1,0,0,0,1,0
494,1,1,1,1,0,0,1,0,1,0,0
495,0,1,1,0,0,1,0,1,1,1,0
496,0,0,1,1,1,0,1,1,0,0,0
497,0,1,0,0,1,0,0,1,1,0,0
498,0,1,0,0,0,0,0,1,0,0,1
499,1,0,0,0,1,0,0,0,0,1,1
500,0,1,0,1,1,1,1,1,1,1,0
501,1,0,0,1,0,0,1,1,0,0,0
502,1,1,0,1,1,0,1,1,0,1,0
503,1,0,0,1,1,1,0,0,0,1,0
504,1,0,0,0,1,0,1,1,0,0,0
505,1,0,0,0,0,0,1,0,0,1,1
506,1,0,1,0,0,1,1,1,1,0,0
507,0,1,0,1,1,0,1,1,0,1,0
508,0,1,0,0,0,0,0,1,0,1,1
509,0,1,1,1,0,0,1,1,1,1,0
510,0,0,1,0,1,0,1,0,0,1,0
511,1,0,1,1,0,1,1,0,0,0,0
512,0,0,0,0,0,0,1,1,1,0,0
513,1,1,0,0,0,1,1,1,1,1,0
514,0,1,0,0,1,1,1,0,1,0,0
515,0,0,0,0,1,1,1,1,0,0,0
516,1,0,1,1,0,0,0,1,0,0,0
517,1,1,0,1,0,1,1,1,1,1,0
518,0,1,1,0,0,0,0,0,1,0,1
519,1,1,0,0,0,1,1,1,0,0,0
520,0,1,0,1,1,1,1,1,0,0,0
521,1,1,1,1,0,0,0,1,0,1,0
522,1,1,0,0,1,0,1,0,0,0,1
523,1,0,0,1,1,0,1,1,0,0,0
524,1,1,0,1,0,0,0,1,0,0,1
525,0,0,1,0,1,0,1,0,0,0,0
526,0,0,1,0,0,0,1,1,0,1,0
527,0,0,0,1,1,0,0,1,1,0,0
528,0,0,0,1,1,0,1,0,1,1,0
529,0,0,0,0,0,1,0,1,1,0,0
530,1,0,1,1,1,0,0,1,0,0,0
531,1,0,0,0,0,1,1,0,0,1,1
532,0,1,0,0,0,1,1,1,0,1,0
533,1,1,1,1,1,1,1,0,1,0,0
534,0,1,1,0,1,0,1,0,0,1,0
535,1,1,1,0,1,0,0,1,0,1,0
536,1,1,1,0,1,1,1,0,1,1,0
537,0,0,1,0,1,0,1,0,1,0,0
538,1,0,1,0,0,1,0,1,0,1,0
539,0,1,0,0,0,1,1,1,1,1,0
540,1,1,0,0,0,0,1,1,1,0,0
541,0,0,0,1,0,1,1,1,1,0,0
542,0,1,1,1,0,0,1,1,1,0,0
543,0,0,0,0,1,0,0,0,0,1,1
544,0,1,1,0,0,0,0,1,0,0,1
545,0,0,0,0,0,1,1,1,0,1,0
546,1,1,0,0,1,0,1,1,0,0,0
547,1,1,0,1,1,1,0,1,1,0,0
548,0,0,1,0,0,0,1,0,0,0,1
549,0,0,0,1,1,0,1,1,1,0,0
550,1,0,0,0,1,1,0,1,0,1,0
551,1,0,1,0,0,0,1,0,1,0,0
552,0,0,1,1,1,1,1,0,0,1,0
553,1,0,0,0,1,0,1,1,0,1,0
554,1,1,0,1,1,1,0,1,1,1,0
555,1,1,1,0,1,0,1,0,0,0,0
556,1,0,0,1,0,1,1,1,1,0,0
557,1,0,0,1,1,1,0,0,1,1,0
558,0,1,0,1,1,1,1,0,0,0,0
559,1,1,1,1,0,0,1,1,0,1,0
560,0,1,0,1,1,0,1,1,1,0,0
561,1,1,1,0,1,1,1,0,0,1,0
562,1,1,1,0,0,1,1,1,0,1,0
563,0,0,1,1,0,1,1,1,1,0,0
564,1,1,0,1,1,1,0,0,1,0,0
565,1,1,1,0,1,0,1,0,1,1,0
566,1,1,0,1,0,1,0,1,1,0,0
567,0,1,0,1,0,0,1,0,1,1,0
568,1,0,1,0,0,0,1,1,1,0,0
569,0,1,1,0,1,0,0,0,0,1,1
570,1,0,0,1,0,1,1,0,0,0,0
571,0,0,1,0,1,1,1,0,1,1,0
572,0,1,1,1,1,1,1,0,1,1,0
573,1,0,0,0,0,1,0,1,0,1,1
574,0,1,1,0,0,0,0,0,1,1,1
575,1,0,1,1,0,1,1,1,1,0,0
576,1,1,1,1,1,1,0,0,1,1,0
577,1,0,1,0,0,1,0,0,1,0,0
578,1,1,0,0,1,1,0,0,1,0,0
579,0,0,1,0,1,1,1,1,0,1,0
580,0,0,1,0,0,1,1,0,1,0,0
581,0,1,1,0,0,0,1,0,0,1,1
