,0,1,2,3,4,5,6,7,8,9,y
1,0,1,1,1,0,1,0,0,0,1,0
2,1,0,1,1,1,0,1,0,1,1,0
3,1,0,0,1,0,1,0,1,0,1,0
4,0,0,1,0,0,1,0,0,1,0,0
5,1,0,1,0,0,1,0,0,1,0,0
6,0,1,1,0,0,0,0,0,0,0,1
7,0,0,0,0,0,1,1,1,1,1,0
8,0,0,0,0,1,1,0,0,1,0,0
9,0,0,0,0,1,1,0,1,0,0,0
10,1,1,0,0,1,1,0,1,0,0,0
11,0,1,0,0,1,1,1,0,0,0,0
12,0,1,1,0,1,1,1,0,1,1,0
13,1,0,0,0,1,1,1,0,1,1,0
14,0,1,1,0,1,1,1,0,1,0,0
15,1,0,1,1,1,0,0,1,0,1,0
16,0,0,0,1,0,1,1,0,0,0,0
17,0,0,1,1,0,0,0,0,1,0,0
18,1,1,1,1,1,1,0,0,1,1,0
19,1,1,0,1,0,1,1,0,1,0,0
20,0,1,0,1,0,0,1,1,1,0,0
21,0,0,0,0,0,0,1,1,0,1,1
22,0,0,0,0,1,1,1,1,1,0,0
23,1,0,0,0,1,1,0,1,0,1,0
24,1,1,1,0,1,1,0,1,0,0,0
25,1,0,0,1,0,1,0,1,0,0,0
26,0,0,1,0,0,1,0,1,0,0,0
27,0,0,0,0,0,0,0,1,0,0,1
28,0,0,0,0,0,0,1,1,1,0,0
29,1,1,1,1,1,1,0,0,1,0,0
30,1,0,1,0,1,0,0,1,1,1,0
31,0,0,1,0,0,1,1,1,1,1,0
32,1,0,1,1,1,0,0,0,1,1,0
33,1,0,0,1,1,0,0,1,0,0,0
34,1,1,1,0,0,0,1,0,1,1,0
35,1,0,0,0,1,0,0,0,0,1,1
36,0,0,1,0,0,0,0,0,0,1,1
37,1,1,0,0,1,0,0,0,0,1,1
38,0,0,0,1,1,1,0,1,1,1,0
39,0,1,1,1,1,1,1,0,1,1,0
40,0,1,1,1,1,0,1,1,0,1,0
41,0,1,0,1,0,1,1,0,0,1,0
42,0,0,1,1,0,1,0,0,0,1,0
43,0,1,0,0,0,1,1,1,0,0,0
44,0,1,0,0,1,1,0,0,0,1,1
45,1,0,1,1,0,0,1,0,0,0,0
46,1,0,1,0,1,0,0,0,1,0,0
47,0,1,1,1,1,0,0,1,0,0,0
48,1,0,0,1,0,1,0,1,1,0,0
49,1,0,1,1,1,1,0,0,0,0,0
50,1,1,0,0,0,1,0,1,1,1,0
51,0,0,0,1,0,1,1,1,0,1,0
52,1,1,1,1,0,0,1,0,1,0,0
53,0,1,0,1,0,1,1,1,1,0,0
54,1,0,0,0,1,0,1,0,1,0,0
55,1,1,1,0,1,1,1,1,1,0,0
56,0,0,0,1,1,0,0,1,0,0,0
57,0,1,1,1,1,0,1,0,0,1,0
58,1,0,0,0,1,0,0,1,1,1,0
59,1,1,0,1,1,1,0,1,0,0,0
60,0,1,1,0,0,0,0,1,1,1,0
61,0,0,1,1,0,0,0,0,1,1,0
62,0,1,1,0,0,1,0,0,0,1,1
63,1,0,1,0,1,0,0,0,1,1,0
64,1,1,1,1,1,0,0,1,0,0,0
65,0,0,0,0,1,0,1,0,1,1,0
66,1,0,1,1,1,1,1,0,1,0,0
67,1,0,1,1,1,0,1,0,0,1,0
68,1,0,0,0,0,0,1,0,1,0,1
69,0,0,1,1,1,0,0,0,0,1,0
70,1,0,1,0,0,0,1,0,0,0,1
