,S1, C1, S2, C2, S3, C3, S4, C4, S5, C5,y
1,4,5,1,9,3,5,4,9,2,9,0
2,4,11,4,5,2,11,3,11,1,5,0
3,3,1,4,1,3,4,1,4,2,1,0
4,3,5,2,5,3,1,2,1,4,1,0
5,4,13,2,13,4,7,3,7,1,13,0
6,2,10,3,12,3,10,1,12,1,10,0
7,1,1,4,1,1,5,2,5,2,1,0
8,3,2,2,1,1,1,2,2,4,1,0
9,3,1,4,2,1,1,1,2,4,1,0
10,3,10,4,10,2,10,1,12,3,12,0
11,3,13,2,2,4,2,3,2,2,13,0
12,2,1,2,9,3,9,1,1,4,1,0
13,4,2,3,2,1,9,3,9,1,2,0
14,2,13,3,3,3,13,4,3,1,13,0
15,1,13,1,11,2,13,4,13,2,11,0
16,4,9,4,7,3,7,2,9,1,9,0
17,2,10,1,10,4,12,3,10,2,12,0
18,3,5,1,8,2,8,1,5,3,8,0
19,3,11,3,10,1,10,4,11,2,10,0
20,1,4,4,9,4,4,2,9,1,9,0
21,2,13,3,1,4,1,1,13,2,1,0
22,1,8,3,9,1,9,4,8,3,8,0
23,4,13,3,13,3,12,1,12,4,12,0
24,3,6,1,6,2,6,4,8,2,8,0
25,2,6,2,5,4,6,1,5,1,6,0
26,1,10,1,1,2,1,3,10,4,10,0
27,2,9,4,10,4,9,3,10,3,9,0
28,1,10,4,10,3,10,2,8,3,8,0
29,4,7,4,13,2,7,1,7,3,13,0
30,3,13,3,7,2,13,2,7,4,13,0
31,3,9,2,7,1,7,4,9,4,7,0
32,1,8,1,6,2,6,2,8,3,8,0
33,1,12,2,1,4,12,3,1,1,1,0
34,1,13,3,1,3,13,2,1,1,1,0
35,4,1,1,1,3,11,4,11,3,1,0
36,2,2,4,13,3,13,4,2,1,13,0
37,4,5,4,4,4,8,4,6,4,7,1
38,4,6,3,3,3,6,1,3,1,6,0
39,3,3,4,4,2,3,1,4,4,3,0
40,3,13,1,13,2,9,4,13,1,9,0
41,1,7,4,9,4,7,3,9,2,9,0
42,3,1,2,11,3,11,1,1,1,11,0
43,3,13,1,13,3,9,2,13,2,9,0
44,3,13,4,13,2,13,2,2,4,2,0
45,3,2,2,2,3,9,2,9,4,2,0
46,1,12,4,8,3,8,4,12,1,8,0
47,1,1,1,5,3,1,2,5,3,5,0
48,4,12,1,13,2,13,1,12,4,13,0
49,4,7,1,7,2,4,3,4,1,4,0
50,3,13,4,3,2,3,1,13,3,3,0
51,3,8,1,1,2,1,4,8,3,1,0
52,2,11,4,6,1,6,1,11,2,6,0
53,4,11,4,7,2,7,2,11,1,7,0
54,3,10,2,10,4,13,1,10,3,13,0
55,1,11,4,11,3,11,2,7,1,7,0
56,4,2,2,2,2,7,1,7,4,7,0
57,1,12,3,12,2,2,1,2,2,12,0
58,1,1,1,5,4,5,4,1,3,5,0
59,3,13,1,13,2,4,4,13,4,4,0
60,3,8,3,3,2,3,2,8,4,8,0
61,4,10,3,10,1,1,1,10,2,1,0
62,3,2,2,2,1,9,1,2,3,9,0
63,1,2,3,2,2,2,4,12,3,12,0
64,2,2,1,10,1,2,4,10,4,2,0
65,4,5,3,5,2,5,2,10,4,10,0
66,2,7,1,7,2,5,1,5,4,7,0
67,4,11,4,5,2,11,1,11,2,5,0
68,3,5,1,12,2,12,1,5,2,5,0
69,3,4,2,4,4,10,2,10,4,4,0
70,3,13,2,13,1,13,2,10,3,10,0
71,1,2,4,8,3,2,2,8,4,2,0
72,1,5,2,8,3,5,2,5,3,8,0
73,4,9,3,11,4,11,1,9,3,9,0
74,3,6,3,2,2,6,1,2,4,6,0
75,2,1,4,1,1,9,2,9,1,1,0
76,3,9,1,13,4,13,2,9,1,9,0
77,2,10,3,4,2,4,4,10,4,4,0
78,1,1,4,1,2,1,2,10,3,10,0
79,3,6,2,6,3,7,4,6,1,7,0
80,4,10,1,10,3,10,1,13,2,13,0
81,1,13,2,13,1,4,4,4,3,4,0
82,3,5,4,5,1,10,3,10,1,5,0
83,1,13,3,5,1,5,2,5,3,13,0
84,2,13,3,13,2,10,3,10,1,10,0
85,1,5,4,4,3,5,3,4,4,5,0
86,2,13,3,12,4,12,1,12,3,13,0
87,4,7,3,11,3,7,1,7,2,11,0
88,3,9,1,11,2,9,3,11,2,11,0
89,4,1,1,2,2,2,4,2,1,1,0
90,4,10,2,10,3,7,1,7,1,10,0
91,2,12,4,12,4,7,3,12,1,7,0
92,2,8,1,8,3,13,3,8,4,13,0
93,3,8,1,8,1,3,2,3,3,3,0
94,4,7,4,9,3,7,1,7,2,9,0
95,3,12,2,7,4,7,1,12,2,12,0
96,4,12,4,1,4,13,4,11,4,10,1
97,2,8,1,8,4,12,4,8,1,12,0
98,1,9,3,9,2,7,2,9,1,7,0
99,2,5,1,6,2,6,4,5,1,5,0
100,4,9,4,2,1,2,3,2,1,9,0
101,1,8,2,8,4,8,2,3,1,3,0
102,1,8,1,10,3,8,4,10,3,10,0
103,1,9,4,9,2,7,3,9,4,7,0
104,3,6,2,7,4,6,4,7,3,7,0
105,2,2,3,12,1,12,1,2,2,12,0
106,4,4,3,4,4,9,2,9,3,9,0
107,1,8,1,12,4,12,3,12,4,8,0
108,4,8,3,8,1,8,2,2,3,2,0
109,1,9,4,1,3,1,4,9,2,1,0
110,2,8,1,8,1,2,2,2,3,8,0
111,3,1,4,7,4,1,3,7,1,1,0
112,4,9,3,1,2,1,2,9,4,1,0
113,4,5,4,11,3,5,1,5,3,11,0
114,3,3,3,2,1,2,2,3,1,3,0
115,1,4,3,1,3,4,4,1,2,4,0
116,4,9,2,10,1,10,3,10,1,9,0
117,1,8,2,8,1,3,3,8,4,3,0
118,1,5,3,5,1,10,2,5,3,10,0
119,4,5,2,8,1,5,3,5,1,8,0
120,3,12,3,5,2,5,1,12,1,5,0
121,4,9,4,11,2,11,3,9,2,9,0
122,4,12,1,12,2,2,3,2,2,12,0
123,4,8,1,4,3,8,4,4,2,4,0
124,4,1,1,7,2,1,4,7,3,7,0
125,3,7,1,7,4,12,2,7,3,12,0
126,1,12,3,12,3,4,4,4,2,12,0
127,2,13,1,11,4,13,3,13,3,11,0
128,2,13,4,13,2,10,1,10,4,10,0
129,1,5,3,5,3,11,4,11,4,5,0
130,1,7,3,12,4,12,1,12,4,7,0
131,3,9,3,5,2,9,1,5,4,5,0
132,2,6,4,6,1,13,4,13,3,6,0
133,2,1,3,4,1,1,1,4,2,4,0
134,1,12,4,5,3,12,3,5,2,5,0
135,1,4,4,4,3,4,1,2,4,2,0
136,3,1,2,10,2,1,1,1,3,10,0
137,2,1,1,1,3,1,3,11,4,11,0
138,3,5,4,3,1,5,2,5,1,3,0
139,4,5,2,7,1,5,4,7,2,5,0
140,4,1,3,1,2,4,2,1,4,4,0
141,1,7,4,7,3,3,4,3,2,7,0
142,4,7,3,7,3,2,1,2,2,2,0
143,1,8,1,2,2,8,4,8,4,2,0
144,2,5,1,4,4,5,4,4,2,4,0
145,3,3,1,3,3,7,4,7,2,3,0
146,2,11,3,11,4,11,1,2,2,2,0
147,2,7,1,4,3,4,3,7,1,7,0
148,4,12,3,6,4,6,1,12,2,6,0
149,2,6,3,2,1,6,4,6,2,2,0
150,1,4,2,8,1,8,3,4,3,8,0
151,1,3,2,3,3,11,1,11,4,11,0
152,1,6,3,1,2,6,4,6,4,1,0
