,FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol,y
1,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,0
2,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,0
3,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,0
4,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,0
5,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,0
6,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,0
7,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,0
8,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,0
9,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,0
10,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,0
11,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,0
12,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,0
13,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,0
14,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,0
15,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,0
16,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,0
17,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,0
18,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,0
19,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,0
20,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,0
21,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,0
22,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,0
23,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,0
24,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,0
25,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,0
26,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,0
27,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,0
28,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,0
29,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,0
30,7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,0
31,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,0
32,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,0
33,6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,0
34,7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,0
35,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,0
36,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,0
37,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,0
38,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,0
39,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,0
40,5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,0
41,7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,0
42,7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,0
43,7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,0
44,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,0
45,6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,0
46,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,0
47,6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,0
48,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,0
49,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,0
50,6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,0
51,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,0
52,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,0
53,6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,0
54,6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,0
55,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,0
56,7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,0
57,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,0
58,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,0
59,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,0
60,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,0
61,7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,0
62,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,0
63,6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,0
64,6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,0
65,5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,0
66,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,0
67,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,0
68,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,0
69,6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,0
70,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,0
71,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,0
