,a1,a2,a3,a4,a5,a6,a7,y
189,12,43,48,5,63,7,74,0
190,61,52,48,5,54,67,52,0
191,33,37,48,5,46,65,69,0
192,63,65,48,5,66,67,71,0
193,41,51,48,5,53,75,78,0
194,34,67,48,5,52,76,79,0
195,58,34,48,5,56,87,81,0
196,59,56,48,5,55,8,82,0
197,51,4,48,5,57,62,67,0
198,5,57,48,5,71,61,66,0
199,6,46,48,5,45,81,83,0
200,37,47,48,5,39,76,79,0
201,58,55,48,5,57,7,74,0
202,36,47,48,5,51,69,72,0
203,39,41,48,5,52,72,75,0
204,35,51,48,5,61,71,74,0
205,31,44,48,5,5,79,82,0
206,61,66,48,5,46,87,88,0
207,48,49,48,5,52,77,71,0
208,11,5,48,5,58,72,68,0
209,31,36,48,5,58,94,94,0
210,68,51,48,5,71,75,78,0
211,69,39,48,5,57,76,79,0
212,52,54,48,5,62,76,79,0
213,46,59,48,5,36,76,23,0
214,36,45,48,5,38,79,17,0
215,0,51,48,5,35,67,44,0
216,1,49,48,5,41,67,21,0
217,3,51,48,5,42,61,34,0
218,61,47,48,5,0,8,32,0
219,63,75,48,5,64,73,66,0
220,71,52,48,5,64,1,99,0
221,72,42,48,5,65,77,79,0
222,79,41,48,5,66,81,83,0
223,83,48,48,5,65,76,79,0
224,69,43,48,5,59,74,77,0
225,79,36,48,5,46,82,7,0
226,78,33,48,5,57,77,79,0
227,75,37,48,5,64,7,74,0
228,59,29,48,5,64,75,77,0
229,67,37,48,5,54,64,68,0
230,66,48,48,5,54,7,74,0
231,64,46,48,5,48,73,76,0
232,76,71,48,5,5,71,75,0
233,84,49,48,5,55,78,74,0
234,77,55,48,5,51,78,74,0
235,81,44,48,5,42,67,68,0
236,58,6,48,5,59,73,76,0
237,63,42,48,5,48,77,8,0
238,62,42,48,5,58,79,81,0
239,86,39,48,5,59,89,9,0
240,81,53,48,5,57,87,88,0
241,87,49,48,5,61,76,79,0
242,47,46,48,5,62,74,77,0
243,76,41,48,5,5,59,62,0
244,7,53,48,5,7,86,87,0
245,64,45,48,5,67,61,66,0
246,81,52,48,5,57,78,8,0
247,73,26,48,5,57,75,78,0
248,49,61,1,5,56,71,74,0
249,88,42,48,5,52,73,75,0
250,84,54,48,5,75,92,7,0
251,63,51,48,5,64,72,76,0
252,86,55,48,5,63,81,83,0
253,79,54,48,5,5,66,68,0
254,57,38,48,5,6,49,33,0
255,78,44,48,5,45,73,68,0
256,74,49,48,5,42,54,36,0
257,7,61,48,5,56,52,43,0
258,66,86,48,5,34,41,36,0
259,73,78,48,5,58,51,31,0
260,65,57,48,5,47,47,51,0
261,72,86,48,5,17,55,21,0
262,67,7,48,5,46,45,33,0
263,67,81,48,5,54,49,23,0
264,67,61,48,5,51,37,38,0
265,63,1,48,5,35,51,49,0
266,57,59,48,5,39,47,33,0
267,71,71,48,5,4,54,39,0
268,66,74,48,5,31,38,43,0
269,67,81,48,5,25,42,25,0
270,64,72,48,5,49,42,19,0
271,68,82,48,5,38,65,56,0
272,32,39,48,5,53,28,38,0
273,7,64,48,5,47,51,47,0
274,63,57,48,5,49,7,2,0
275,74,82,48,5,49,49,41,0
276,63,86,48,5,39,47,34,0
277,63,83,48,5,4,39,19,0
278,63,71,48,5,6,4,39,0
279,71,86,48,5,4,54,32,0
280,68,78,48,5,43,44,42,0
281,64,84,48,5,37,45,4,0
282,74,47,48,5,5,57,42,0
283,75,84,48,5,35,52,33,0
284,63,65,48,5,39,44,35,0
285,69,67,48,5,3,39,24,0
286,7,71,48,5,42,84,85,0
287,69,8,48,5,46,57,26,0
288,64,66,48,5,41,39,2,0
289,63,8,48,5,46,31,29,0
290,66,71,48,5,41,5,35,0
291,69,59,48,5,46,44,52,0
292,68,67,48,5,49,4,34,0
293,64,78,48,5,5,36,38,0
294,62,78,48,5,47,49,54,0
295,76,73,48,5,44,39,39,0
296,64,81,48,5,37,39,44,0
297,29,39,48,5,52,4,48,0
298,62,83,48,5,46,36,4,0
299,56,54,48,5,43,37,3,0
300,69,66,48,5,41,5,25,0
301,69,65,48,5,63,48,41,0
302,43,59,48,5,52,49,56,0
303,74,56,48,5,47,68,3,0
304,71,57,48,5,48,35,32,0
305,61,6,48,5,44,39,38,0
306,59,61,48,5,42,42,37,0
307,74,74,48,5,31,53,52,0
308,85,53,48,5,53,52,35,1
309,63,49,48,5,54,76,79,1
310,75,55,1,1,4,47,3,1
311,7,39,1,5,51,82,84,1
312,78,68,48,5,83,4,29,1
313,63,69,48,5,65,41,28,1
314,67,88,48,5,73,5,25,1
315,61,75,48,5,51,33,33,1
316,67,84,48,5,74,54,37,1
317,74,9,48,5,57,53,29,1
318,73,84,48,5,86,58,29,1
319,75,76,48,5,83,57,3,1
320,77,57,48,5,88,53,2,1
321,74,78,48,5,75,54,15,1
322,68,76,48,5,84,45,27,1
323,56,68,48,5,77,36,45,1
324,65,51,48,5,66,54,33,1
325,52,81,48,5,72,38,38,1
326,64,57,48,5,7,33,26,1
327,6,76,1,5,77,59,52,1
328,69,59,48,5,77,39,21,1
329,63,49,48,5,79,45,28,1
330,71,71,48,5,68,43,36,1
331,68,63,48,5,73,4,3,1
332,77,57,1,5,37,54,1,1
333,66,49,1,5,54,56,36,1
334,71,46,1,5,52,59,3,1
335,67,55,1,5,66,58,16,1
336,68,49,1,5,62,55,28,1
