,Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2,y
1,0.68,0.49,1,0.5,0.62,0.55,0.28,0
2,0.75,0.84,0.48,0.5,0.35,0.52,0.33,0
3,0.52,0.44,0.48,0.5,0.37,0.36,0.42,0
4,0.87,0.49,0.48,0.5,0.61,0.76,0.79,1
5,0.41,0.51,0.48,0.5,0.58,0.2,0.31,0
6,0.2,0.46,0.48,0.5,0.57,0.78,0.81,0
7,0.41,0.51,0.48,0.5,0.53,0.75,0.78,0
8,0.35,0.34,0.48,0.5,0.46,0.3,0.27,0
9,0.44,0.35,0.48,0.5,0.55,0.55,0.61,0
10,0.76,0.71,0.48,0.5,0.5,0.71,0.75,1
11,0.76,0.41,0.48,0.5,0.5,0.59,0.62,1
12,0.3,0.37,0.48,0.5,0.43,0.18,0.3,0
13,0.18,0.3,0.48,0.5,0.46,0.24,0.35,0
14,0.81,0.52,0.48,0.5,0.57,0.78,0.8,1
15,0.25,0.4,0.48,0.5,0.46,0.44,0.52,0
16,0.78,0.44,0.48,0.5,0.45,0.73,0.68,1
17,0.69,0.59,0.48,0.5,0.46,0.44,0.52,0
18,0.64,0.66,0.48,0.5,0.41,0.39,0.2,0
19,0.63,0.75,0.48,0.5,0.64,0.73,0.66,0
20,0.69,0.66,0.48,0.5,0.41,0.5,0.25,0
21,0.36,0.54,0.48,0.5,0.41,0.38,0.46,0
22,0.37,0.5,0.48,0.5,0.42,0.36,0.45,0
23,0.37,0.47,0.48,0.5,0.39,0.76,0.79,0
24,0.44,0.56,0.48,0.5,0.5,0.46,0.54,0
25,0.3,0.45,0.48,0.5,0.36,0.21,0.32,0
26,0.52,0.57,0.48,0.5,0.42,0.47,0.54,0
27,0.06,0.61,0.48,0.5,0.49,0.92,0.37,0
28,0.4,0.5,0.48,0.5,0.65,0.82,0.84,0
29,0.2,0.44,0.48,0.5,0.46,0.51,0.57,0
30,0.51,0.4,0.48,0.5,0.57,0.62,0.67,0
31,0.49,0.29,0.48,0.5,0.56,0.24,0.35,0
32,0.29,0.47,0.48,0.5,0.41,0.23,0.34,0
33,0.45,0.4,0.48,0.5,0.61,0.74,0.77,0
34,0.74,0.7,0.48,0.5,0.66,0.65,0.69,0
35,0.5,0.51,0.48,0.5,0.27,0.23,0.34,0
36,0.75,0.37,0.48,0.5,0.64,0.7,0.74,1
37,0.59,0.29,0.48,0.5,0.64,0.75,0.77,1
38,0.44,0.34,0.48,0.5,0.3,0.33,0.43,0
39,0.39,0.31,0.48,0.5,0.38,0.34,0.43,0
40,0.51,0.37,0.48,0.5,0.35,0.36,0.45,0
41,0.74,0.44,0.48,0.5,0.55,0.88,0.89,0
42,0.5,0.66,0.48,0.5,0.31,0.92,0.92,0
43,0.33,0.47,0.48,0.5,0.53,0.18,0.29,0
44,0.77,0.57,0.48,0.5,0.88,0.53,0.2,0
45,0.5,0.49,0.48,0.5,0.49,0.46,0.53,0
46,0.64,0.57,0.48,0.5,0.7,0.33,0.26,0
47,0.42,0.35,0.48,0.5,0.58,0.15,0.27,0
48,0.27,0.35,0.48,0.5,0.51,0.77,0.79,0
49,0.44,0.35,0.48,0.5,0.44,0.52,0.59,0
50,0.56,0.4,0.48,0.5,0.49,0.37,0.46,0
51,0.36,0.42,0.48,0.5,0.53,0.32,0.41,0
52,0.61,0.36,0.48,0.5,0.49,0.35,0.44,0
53,0.68,0.82,0.48,0.5,0.38,0.65,0.56,0
54,0.36,0.41,0.48,0.5,0.48,0.47,0.54,0
55,0.27,0.42,0.48,0.5,0.37,0.38,0.43,0
56,0.31,0.44,0.48,0.5,0.5,0.79,0.82,0
57,0.34,0.49,0.48,0.5,0.58,0.85,0.8,0
58,0.47,0.46,0.48,0.5,0.62,0.74,0.77,1
59,0.63,0.69,0.48,0.5,0.65,0.41,0.28,0
60,0.22,0.34,0.48,0.5,0.42,0.29,0.39,0
61,0.63,0.8,0.48,0.5,0.46,0.31,0.29,0
62,0.21,0.51,0.48,0.5,0.5,0.32,0.41,0
63,0.75,0.55,1,1,0.4,0.47,0.3,0
64,0.54,0.49,0.48,0.5,0.4,0.87,0.88,0
65,0.23,0.34,0.48,0.5,0.43,0.26,0.37,0
66,0.65,0.47,0.48,0.5,0.59,0.3,0.4,0
67,0.6,0.76,1,0.5,0.77,0.59,0.52,0
68,0.63,0.65,0.48,0.5,0.66,0.67,0.71,0
69,0.53,0.42,0.48,0.5,0.16,0.29,0.39,0
70,0.69,0.39,0.48,0.5,0.57,0.76,0.79,0
71,0.3,0.51,0.48,0.5,0.42,0.61,0.34,0
72,0.66,0.71,0.48,0.5,0.41,0.5,0.35,0
73,0.38,0.44,0.48,0.5,0.43,0.2,0.31,0
74,0.26,0.26,0.48,0.5,0.34,0.25,0.35,0
75,0.66,0.48,0.48,0.5,0.54,0.7,0.74,1
76,0.48,0.42,0.48,0.5,0.45,0.25,0.35,0
77,0.24,0.35,0.48,0.5,0.31,0.19,0.31,0
78,0.65,0.57,0.48,0.5,0.47,0.47,0.51,0
79,0.79,0.54,0.48,0.5,0.5,0.66,0.68,1
80,0.63,1,0.48,0.5,0.35,0.51,0.49,0
81,0.42,0.24,0.48,0.5,0.57,0.27,0.37,0
82,0.43,0.37,0.48,0.5,0.53,0.35,0.44,0
83,0.83,0.48,0.48,0.5,0.65,0.76,0.79,1
84,0.72,0.86,0.48,0.5,0.17,0.55,0.21,0
85,0.41,0.43,0.48,0.5,0.45,0.31,0.41,0
86,0.23,0.4,0.48,0.5,0.39,0.28,0.38,0
87,0.63,0.54,0.48,0.5,0.65,0.79,0.81,0
88,0.29,0.28,0.48,0.5,0.44,0.23,0.34,0
89,0.74,0.47,0.48,0.5,0.5,0.57,0.42,0
90,0.71,0.71,0.48,0.5,0.4,0.54,0.39,0
91,0.64,0.45,0.48,0.5,0.67,0.61,0.66,1
92,0.25,0.48,0.48,0.5,0.44,0.17,0.29,0
93,0.63,0.49,0.48,0.5,0.79,0.45,0.28,0
94,0.63,0.71,0.48,0.5,0.6,0.4,0.39,0
95,0.24,0.41,0.48,0.5,0.49,0.23,0.34,0
96,0.44,0.49,0.48,0.5,0.39,0.38,0.4,0
97,0.49,0.61,1,0.5,0.56,0.71,0.74,1
98,0.74,0.78,0.48,0.5,0.75,0.54,0.15,0
99,0.24,0.43,0.48,0.5,0.37,0.28,0.38,0
100,0.34,0.28,0.48,0.5,0.41,0.35,0.44,0
101,0.33,0.37,0.48,0.5,0.46,0.65,0.69,0
102,0.25,0.4,0.48,0.5,0.47,0.33,0.42,0
103,0.38,0.3,0.48,0.5,0.43,0.29,0.39,0
104,0.61,0.45,0.48,0.5,0.48,0.35,0.41,0
105,0.68,0.67,0.48,0.5,0.49,0.4,0.34,0
106,0.39,0.32,0.48,0.5,0.46,0.24,0.35,0
107,0.69,0.67,0.48,0.5,0.3,0.39,0.24,0
108,0.4,0.46,0.48,0.5,0.42,0.35,0.44,0
109,0.44,0.52,0.48,0.5,0.43,0.47,0.54,0
110,0.73,0.26,0.48,0.5,0.57,0.75,0.78,1
111,0.4,0.46,0.48,0.5,0.52,0.49,0.56,0
112,0.28,0.33,0.48,0.5,0.45,0.22,0.33,0
113,0.3,0.16,0.48,0.5,0.56,0.11,0.23,0
114,0.61,0.52,0.48,0.5,0.54,0.67,0.52,0
115,0.76,0.73,0.48,0.5,0.44,0.39,0.39,0
116,0.69,0.8,0.48,0.5,0.46,0.57,0.26,0
117,0.73,0.84,0.48,0.5,0.86,0.58,0.29,0
118,0.1,0.49,0.48,0.5,0.41,0.67,0.21,0
119,0.42,0.38,0.48,0.5,0.54,0.34,0.43,0
120,0.64,0.84,0.48,0.5,0.37,0.45,0.4,0
121,0.74,0.74,0.48,0.5,0.31,0.53,0.52,0
122,0.35,0.48,0.48,0.5,0.56,0.4,0.48,0
123,0.83,0.37,0.48,0.5,0.61,0.71,0.74,0
